Test #146 (Nodes: 10000, Elements: 30000): Tree Creation - 1154250 ns, DFS - 69666 ns, BFS - 142083 ns, List Creation - 885792 ns
Test #147 (Nodes: 10000, Elements: 30000): Tree Creation - 1110250 ns, DFS - 73417 ns, BFS - 146083 ns, List Creation - 863333 ns
Test #148 (Nodes: 10000, Elements: 30000): Tree Creation - 1122250 ns, DFS - 69833 ns, BFS - 141958 ns, List Creation - 853000 ns
Test #149 (Nodes: 10000, Elements: 30000): Tree Creation - 1070292 ns, DFS - 70125 ns, BFS - 141375 ns, List Creation - 856292 ns
Test #150 (Nodes: 10000, Elements: 30000): Tree Creation - 1153958 ns, DFS - 69750 ns, BFS - 145833 ns, List Creation - 859292 ns
Test #151 (Nodes: 10000, Elements: 30000): Tree Creation - 1104833 ns, DFS - 69708 ns, BFS - 141541 ns, List Creation - 867291 ns
Test #152 (Nodes: 10000, Elements: 30000): Tree Creation - 1082125 ns, DFS - 69333 ns, BFS - 141417 ns, List Creation - 1000458 ns
Test #153 (Nodes: 10000, Elements: 30000): Tree Creation - 1096666 ns, DFS - 83417 ns, BFS - 141708 ns, List Creation - 902667 ns
Test #154 (Nodes: 10000, Elements: 30000): Tree Creation - 1119333 ns, DFS - 69458 ns, BFS - 141583 ns, List Creation - 888375 ns
Test #155 (Nodes: 10000, Elements: 30000): Tree Creation - 1074167 ns, DFS - 69916 ns, BFS - 141125 ns, List Creation - 885541 ns
Test #156 (Nodes: 10000, Elements: 30000): Tree Creation - 1086125 ns, DFS - 79041 ns, BFS - 140958 ns, List Creation - 849500 ns
Test #157 (Nodes: 10000, Elements: 30000): Tree Creation - 1135167 ns, DFS - 69917 ns, BFS - 141167 ns, List Creation - 850958 ns
Test #158 (Nodes: 10000, Elements: 30000): Tree Creation - 1126125 ns, DFS - 69875 ns, BFS - 141000 ns, List Creation - 871958 ns
Test #159 (Nodes: 10000, Elements: 30000): Tree Creation - 1064084 ns, DFS - 69708 ns, BFS - 144583 ns, List Creation - 877042 ns
Test #160 (Nodes: 10000, Elements: 30000): Tree Creation - 1061000 ns, DFS - 77208 ns, BFS - 141083 ns, List Creation - 901959 ns
Test #161 (Nodes: 10000, Elements: 30000): Tree Creation - 1052625 ns, DFS - 69958 ns, BFS - 145458 ns, List Creation - 855125 ns
Test #162 (Nodes: 10000, Elements: 30000): Tree Creation - 1052125 ns, DFS - 69875 ns, BFS - 145375 ns, List Creation - 931041 ns
Test #163 (Nodes: 10000, Elements: 30000): Tree Creation - 1039709 ns, DFS - 69792 ns, BFS - 141625 ns, List Creation - 922875 ns
Test #164 (Nodes: 10000, Elements: 30000): Tree Creation - 1074375 ns, DFS - 69875 ns, BFS - 149208 ns, List Creation - 917833 ns
Test #165 (Nodes: 10000, Elements: 30000): Tree Creation - 1055333 ns, DFS - 73583 ns, BFS - 141083 ns, List Creation - 954417 ns
Test #166 (Nodes: 10000, Elements: 30000): Tree Creation - 1087833 ns, DFS - 69750 ns, BFS - 141333 ns, List Creation - 941917 ns
Test #167 (Nodes: 10000, Elements: 30000): Tree Creation - 1167666 ns, DFS - 69542 ns, BFS - 141333 ns, List Creation - 932417 ns
Test #168 (Nodes: 10000, Elements: 30000): Tree Creation - 1087625 ns, DFS - 69833 ns, BFS - 141041 ns, List Creation - 953083 ns
Test #169 (Nodes: 10000, Elements: 30000): Tree Creation - 1032334 ns, DFS - 69375 ns, BFS - 141500 ns, List Creation - 886625 ns
Test #170 (Nodes: 10000, Elements: 30000): Tree Creation - 1030334 ns, DFS - 74209 ns, BFS - 154375 ns, List Creation - 906708 ns
Test #171 (Nodes: 10000, Elements: 30000): Tree Creation - 1061875 ns, DFS - 69917 ns, BFS - 141625 ns, List Creation - 898917 ns
Test #172 (Nodes: 10000, Elements: 30000): Tree Creation - 1036083 ns, DFS - 69708 ns, BFS - 141792 ns, List Creation - 942541 ns
Test #173 (Nodes: 10000, Elements: 30000): Tree Creation - 1045708 ns, DFS - 69542 ns, BFS - 141708 ns, List Creation - 899125 ns
Test #174 (Nodes: 10000, Elements: 30000): Tree Creation - 1047583 ns, DFS - 69541 ns, BFS - 149667 ns, List Creation - 895166 ns
Test #175 (Nodes: 10000, Elements: 30000): Tree Creation - 1027333 ns, DFS - 69750 ns, BFS - 141333 ns, List Creation - 1077875 ns
Test #176 (Nodes: 10000, Elements: 30000): Tree Creation - 1035791 ns, DFS - 69500 ns, BFS - 141666 ns, List Creation - 874709 ns
Test #177 (Nodes: 10000, Elements: 30000): Tree Creation - 1168125 ns, DFS - 69708 ns, BFS - 141458 ns, List Creation - 864250 ns
Test #178 (Nodes: 10000, Elements: 30000): Tree Creation - 1062833 ns, DFS - 69708 ns, BFS - 151000 ns, List Creation - 854000 ns
Test #179 (Nodes: 10000, Elements: 30000): Tree Creation - 1048791 ns, DFS - 72958 ns, BFS - 141166 ns, List Creation - 1132625 ns
Test #180 (Nodes: 10000, Elements: 30000): Tree Creation - 1108208 ns, DFS - 69417 ns, BFS - 145375 ns, List Creation - 915708 ns
Test #181 (Nodes: 10000, Elements: 30000): Tree Creation - 1127250 ns, DFS - 69333 ns, BFS - 194875 ns, List Creation - 939375 ns
Test #182 (Nodes: 10000, Elements: 30000): Tree Creation - 1185375 ns, DFS - 82916 ns, BFS - 141625 ns, List Creation - 933709 ns
Test #183 (Nodes: 10000, Elements: 30000): Tree Creation - 1250291 ns, DFS - 72708 ns, BFS - 141416 ns, List Creation - 928333 ns
Test #184 (Nodes: 10000, Elements: 30000): Tree Creation - 1249834 ns, DFS - 71083 ns, BFS - 141250 ns, List Creation - 991458 ns
Test #185 (Nodes: 10000, Elements: 30000): Tree Creation - 1232708 ns, DFS - 70583 ns, BFS - 152875 ns, List Creation - 1004667 ns
Test #186 (Nodes: 10000, Elements: 30000): Tree Creation - 1169958 ns, DFS - 69958 ns, BFS - 141417 ns, List Creation - 870834 ns
Test #187 (Nodes: 10000, Elements: 30000): Tree Creation - 1046209 ns, DFS - 69834 ns, BFS - 141417 ns, List Creation - 903625 ns
Test #188 (Nodes: 10000, Elements: 30000): Tree Creation - 1042292 ns, DFS - 69834 ns, BFS - 141584 ns, List Creation - 908042 ns
Test #189 (Nodes: 10000, Elements: 30000): Tree Creation - 1056708 ns, DFS - 69750 ns, BFS - 141667 ns, List Creation - 901083 ns
Test #190 (Nodes: 10000, Elements: 30000): Tree Creation - 1043625 ns, DFS - 69584 ns, BFS - 141292 ns, List Creation - 1032000 ns
Test #191 (Nodes: 10000, Elements: 30000): Tree Creation - 1037917 ns, DFS - 70166 ns, BFS - 141292 ns, List Creation - 934292 ns
Test #192 (Nodes: 10000, Elements: 30000): Tree Creation - 1042166 ns, DFS - 69834 ns, BFS - 141292 ns, List Creation - 854833 ns
Test #193 (Nodes: 10000, Elements: 30000): Tree Creation - 1068500 ns, DFS - 69666 ns, BFS - 141250 ns, List Creation - 860083 ns
Test #194 (Nodes: 10000, Elements: 30000): Tree Creation - 1051125 ns, DFS - 69958 ns, BFS - 141333 ns, List Creation - 881250 ns
